"text","urgency"
"A live electrical wire has fallen across the road and is sparking near pedestrians.","critical"
"An electrical transformer is on fire beside several houses.","critical"
"A child received an electric shock from an exposed streetlight cable.","critical"
"Floodwater has entered the electrical substation and sparks are visible.","critical"
"A high voltage pole is leaning over a crowded market and may collapse.","critical"
"There is a gas-like smell and smoke coming from the neighborhood transformer.","critical"
"An electric cable is burning inside the public hospital entrance.","critical"
"A power line has fallen onto a school bus.","critical"
"Several people are trapped in an elevator during a building power fire.","critical"
"An exposed electric junction box is sparking in a children's playground.","critical"
"A major water pipeline has burst and is rapidly flooding homes.","critical"
"Drinking water appears contaminated and many residents are suddenly ill.","critical"
"A child has fallen into an uncovered water reservoir.","critical"
"Sewage has entered the main drinking water supply.","critical"
"A dam wall is cracking and water is rushing toward nearby houses.","critical"
"A deep open well beside the road has no barrier and someone has fallen in.","critical"
"A chemical spill has entered the local water tank.","critical"
"Floodwater is rising quickly and elderly residents are trapped inside homes.","critical"
"The main hospital has completely lost its water supply during emergency operations.","critical"
"A high pressure water pipe burst under the road and caused the ground to collapse.","critical"
"A bridge has collapsed while vehicles were crossing it.","critical"
"A large sinkhole opened suddenly in the middle of a busy highway.","critical"
"A landslide has blocked the road and trapped several vehicles.","critical"
"Traffic lights have failed at a major intersection and multiple crashes occurred.","critical"
"A school bus is stuck at the edge of a collapsed road.","critical"
"A fallen tree is crushing a car with people trapped inside.","critical"
"The road barrier is broken and a vehicle has fallen into the river.","critical"
"A building wall has collapsed onto the public road and injured pedestrians.","critical"
"The railway crossing gate is broken while trains are approaching.","critical"
"A fuel tanker overturned on the highway and fuel is leaking.","critical"
"A large garbage dump is burning next to residential buildings.","critical"
"Hospital waste including used needles is scattered near a school.","critical"
"A hazardous chemical container is leaking in the public waste area.","critical"
"A sanitation worker is trapped inside a sewer line.","critical"
"Dead animals and medical waste have contaminated the community water source.","critical"
"Methane appears to have ignited inside a garbage collection facility.","critical"
"Toxic smoke from burning plastic is filling nearby homes.","critical"
"An overflowing sewer has released dangerous gas and several people fainted.","critical"
"Explosive materials were found inside a public garbage bin.","critical"
"A waste truck has crashed and spilled hazardous material across the road.","critical"
"An armed person is threatening people in the public park.","critical"
"A serious fight is happening outside the school and weapons are visible.","critical"
"A person is trapped inside a burning public building.","critical"
"Someone is attempting to break into a house while the family is inside.","critical"
"A crowd crush is occurring at the festival entrance.","critical"
"A suspicious package with wires is lying inside the bus station.","critical"
"A violent attacker is chasing pedestrians near the market.","critical"
"A child is missing near a fast-moving river.","critical"
"A public building is being evacuated because smoke is filling the rooms.","critical"
"Several people are unconscious after inhaling an unknown gas in the metro station.","critical"
"Power has been out across the entire neighborhood for twelve hours.","urgent"
"The hospital backup generator is running low after a prolonged outage.","urgent"
"A transformer is making loud noises and repeatedly cutting power.","urgent"
"Several streetlights are out on a busy road with frequent accidents.","urgent"
"Voltage fluctuations are damaging appliances in many homes.","urgent"
"A power pole is visibly cracked but has not fallen.","urgent"
"Electricity is unavailable at the local health clinic.","urgent"
"Loose electrical cables are hanging low above the sidewalk.","urgent"
"The electricity meter box is overheating and smells burnt.","urgent"
"Power outages are affecting the traffic signals in our area.","urgent"
"There has been no drinking water in the neighborhood for two days.","urgent"
"A major pipe leak is wasting large amounts of water.","urgent"
"The water supplied today is brown and has a bad smell.","urgent"
"Sewage is leaking near the community water pipeline.","urgent"
"Water pressure is too low for the apartment's upper floors.","urgent"
"The public water tank has not been cleaned and insects are visible.","urgent"
